"","X","Item_ID","Sentence","ModalPresent","Finite","QuestionType","DegreeQ","SubjectAuxInv","WhAll","QuantifiedSubject","QuantifiedPredicate","Wh","MatVerb","MatVerbPart","Modal","Verb1","Verb2","DeterminerSubject","DeterminerNonSubject","FullWhPhrase","WhNode","WhParse","Question","SentenceParse","WhPhaseType"
"66",66,"2215:178","that, that's the other financial thing 0 i guess that we've done *t*-1 is with our life insurance is, since i'm at home now is, is * figuring out, uh, what we would need *t*-2 if something happened to my husband, or what he would need *t*-3 if something happened to me,","no","yes","embedded","no","",NA,"something","something","what","figuring","",NA,"need","","that","the","",NA,"(WP what)","what he would need *t*-3 if something happened to me","(TOP (S (S-SBJ (EDITED (RM (-DFL- \[)) (NP-SBJ (DT that)) (, ,) (IP (-DFL- \+))) (NP-SBJ (DT that)) (VP (BES 's) (RS (-DFL- \])) (NP-PRD (NP (DT the) (JJ other) (JJ financial) (NN thing)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (PRP I)) (VP (VBP guess) (SBAR (IN that) (S (NP-SBJ (PRP we)) (VP (VBP 've) (VP (VBN done) (NP (-NONE- *T*-1)) (EDITED (VP-UNF (VBZ is))) (PP (IN with) (NP (PRP$ our) (NN life) (NN insurance))) (EDITED (VP-UNF (VBZ is)) (, ,)) (SBAR-PRP (IN since) (S (NP-SBJ (PRP I)) (VP (VBP 'm) (PP-LOC-PRD (IN at) (NP (NN home))) (ADVP-TMP (RB now))))))))))))))) (EDITED (RM (-DFL- \[)) (VP-UNF (VBZ is)) (, ,) (IP (-DFL- \+))) (VP (VBZ is) (RS (-DFL- \])) (S-PRD (NP-SBJ (-NONE- *)) (VP (VBG figuring) (PRT (RP out)) (, ,) (INTJ (UH uh)) (, ,) (SBAR (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (PRP we)) (VP (MD would) (VP (VB need) (NP (-NONE- *T*-2)) (SBAR-ADV (IN if) (S (NP-SBJ (NN something)) (VP (VBD happened) (PP (IN to) (NP (PRP$ my) (NN husband)))))))))) (, ,) (CC or) (SBAR (WHNP-3 (WP what)) (S (NP-SBJ (PRP he)) (VP (MD would) (VP (VB need) (NP (-NONE- *T*-3)) (SBAR-ADV (IN if) (S (NP-SBJ (NN something)) (VP (VBD happened) (PP (IN to) (NP (PRP me)))))))))))))) (, ,) (-DFL- E_S)))","monomorphemic"
"67",67,"34957:4","where i watched things on a more regular basis *t*-2.","no","yes","subject","no","",NA,"","more","where","","",NA,"watched","","","a","",NA,"(WRB where)","where i watched things on a more regular basis *t*-2.","(TOP (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ (PRP I)) (VP (VBD watched) (NP (NNS things)) (PP (IN on) (NP (DT a) (ADJP (RBR more) (JJ regular)) (NN basis))) (ADVP (-NONE- *T*-2)))) (. .) (-DFL- N_S)))","monomorphemic"
"68",68,"42865:24","they'd have that respect for what it does *t*-1, and what it can do *t*-2.","no","yes","relative","no","",NA,"","","what","","",NA,"does","","","that","",NA,"(WP what)","what it does *t*-1","(TOP (S (NP-SBJ (PRP they)) (VP (MD 'd) (VP (VB have) (NP (NP (DT that) (NN respect)) (PP (IN for) (SBAR-NOM (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP it)) (VP (VBZ does) (NP (-NONE- *T*-1))))) (, ,) (CC and) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (PRP it)) (VP (MD can) (VP (VB do) (NP (-NONE- *T*-2))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"69",69,"175917:45","probably pretty high up on the list is *t*-1 national public radio. uh, which i like *t*-2.","no","yes","relative","no","",NA,"","","which","","",NA,"like","","which","","",NA,"(WDT which)","which i like *t*-2","(TOP (SINV (ADVP (RB Probably)) (ADJP-PRD-TPC (RB pretty) (JJ high) (PP (IN up) (PP (IN on) (NP (DT the) (NN list))))) (VP (VBZ is) (ADVP-PRD-LOC (-NONE- *T*-1))) (NP-SBJ (NP (NNP National) (NNP Public) (NNP Radio)) (. .) (INTJ (UH Uh)) (, ,) (SBAR (WHNP-2 (WDT which)) (S (NP-SBJ (PRP I)) (VP (VBP like) (NP (-NONE- *T*-2)))))) (. .) (-DFL- E_S)))","monomorphemic"
"70",70,"103492:7","and when she heard the topic *t*-1, she said, capital punishment,","no","yes","subject","no","",NA,"","","when","","",NA,"heard","","","the","",NA,"(WRB when)","when she heard the topic *t*-1","(TOP (S (CC and) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP she)) (VP (VBD heard) (NP (DT the) (NN topic)) (ADVP-TMP (-NONE- *T*-1))))) (, ,) (NP-SBJ (PRP she)) (VP (VBD said) (, ,) (NP-SEZ (JJ capital) (NN punishment))) (, ,) (-DFL- E_S)))","monomorphemic"
"71",71,"64510:10","uh, whatsever *t*-1's on the radio is, is usually okay with me,","no","yes","subject","no","",NA,"","","whatsever","","",NA,"is","","","the","",NA,"(WP whatsever)","whatsever *t*-1's on the radio","(TOP (S (INTJ (UH Uh)) (, ,) (SBAR-NOM-SBJ (WHNP-1 (WP whatsever)) (S (NP-SBJ (-NONE- *T*-1)) (VP (BES 's) (PP-PRD (IN on) (NP (DT the) (NN radio)))))) (EDITED (RM (-DFL- \[)) (VP-UNF (VBZ is)) (, ,) (IP (-DFL- \+))) (VP (VBZ is) (RS (-DFL- \])) (ADVP-TMP (RB usually)) (ADJP-PRD (JJ okay) (PP (IN with) (NP (PRP me))))) (, ,) (-DFL- E_S)))","monomorphemic"
"72",72,"122970:36","so, so you would favor a law which *t*-1 said 0 there could not be lobbyists.","no","yes","relative","no","",NA,"","","which","","",NA,"said","","","which","",NA,"(WDT which)","which *t*-1 said 0 there could not be lobbyists","(TOP (S (EDITED (RM (-DFL- \[)) (UH So) (, ,) (IP (-DFL- \+))) (UH so) (RS (-DFL- \])) (NP-SBJ (PRP you)) (VP (MD would) (VP (VB favor) (NP (NP (DT a) (NN law)) (SBAR (WHNP-1 (WDT which)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBD said) (SBAR (-NONE- 0) (S (NP-SBJ (EX there)) (VP (MD could) (RB not) (VP (VB be) (NP-PRD (NNS lobbyists)))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"73",73,"32640:11","you know what i mean *t*-1.","no","yes","embedded","no","",NA,"","","what","know","",NA,"mean","","","","",NA,"(WP what)","what i mean *t*-1","(TOP (S (NP-SBJ (PRP you)) (VP (VBP know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBP mean) (NP (-NONE- *T*-1)))))) (. .) (-DFL- E_S)))","monomorphemic"
"74",74,"167372:38","and this was a, a lincoln log house where you have the wall partitions *t*-1","no","yes","relative","no","",NA,"","wall","where","","",NA,"have","","this","the","",NA,"(WRB where)","where you have the wall partitions *t*-1","(TOP (S (CC And) (NP-SBJ (DT this)) (VP (VBD was) (EDITED (RM (-DFL- \[)) (NP-PRD-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP-PRD (NP (DT a) (RS (-DFL- \])) (NNP Lincoln) (NN log) (NN house)) (SBAR (WHADVP-1 (WRB where)) (S (NP-SBJ (PRP you)) (VP (VBP have) (NP (DT the) (NN wall) (NNS partitions)) (ADVP (-NONE- *T*-1))))))) (-DFL- E_S)))","monomorphemic"
"75",75,"160957:61","and especially when you've got the bush administration who *t*-1 has increased government expenditures, uh, beyond what any other president since world war two has done *t*-2 *t*-3","no","yes","nominalized","no","",NA,"any","done","what","","increased",NA,"has","","any","any","",NA,"(WP what)","what any other president since world war two has done *t*-2","(TOP (FRAG (CC and) (ADVP (RB especially)) (SBAR-TMP (WHADVP-3 (WRB when)) (S (NP-SBJ (PRP you)) (VP (VBP 've) (VP (VBN got) (NP (NP (DT the) (NNP Bush) (NN administration)) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ has) (VP (VBN increased) (NP (NN government) (NNS expenditures)) (, ,) (INTJ (UH uh)) (, ,) (PP (IN beyond) (SBAR-NOM (WHNP-2 (WP what)) (S (NP-SBJ (NP (DT any) (JJ other) (NNP President)) (PP-TMP (IN since) (NP (NNP World) (NNP War) (CD Two)))) (VP (VBZ has) (VP (VBN done) (NP (-NONE- *T*-2)))))))))))) (ADVP-TMP (-NONE- *T*-3)))))) (-DFL- E_S)))","monomorphemic"
"76",76,"88776:47","uh, depending on what they want *-1 to specialize in *t*-2 and what you can afford *t*-3, different things like that,","no","yes","relative","no","",NA,"","","what","","",NA,"afford","","","","",NA,"(WP what)","what you can afford *t*-3","(TOP (FRAG (INTJ (UH Uh)) (, ,) (PP (VBG depending) (PP (IN on) (NP (NP (SBAR-NOM (WHNP-2 (WP what)) (S (NP-SBJ-1 (PRP they)) (VP (VBP want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB specialize) (PP (IN in) (NP (-NONE- *T*-2))))))))) (CC and) (SBAR-NOM (WHNP-3 (WP what)) (S (NP-SBJ (PRP you)) (VP (MD can) (VP (VB afford) (NP (-NONE- *T*-3))))))) (, ,) (NP (NP (JJ different) (NNS things)) (PP (IN like) (NP (DT that))))))) (, ,) (-DFL- E_S)))","monomorphemic"
"77",77,"118986:29","so i've been librarian all this week, which *t*-1 has been real interesting,","no","yes","embadjunct","no","",NA,"","","which","","",NA,"has","","","which","",NA,"(WDT which)","which *t*-1 has been real interesting","(TOP (S (RB so) (NP-SBJ (PRP I)) (VP (VBP 've) (VP (VP (VBN been) (NP-PRD (NN librarian)) (NP-TMP (PDT all) (DT this) (NN week))) (, ,) (SBAR (WHNP-1 (WDT which)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ has) (VP (VBN been) (ADJP-PRD (RB real) (JJ interesting)))))))) (, ,) (-DFL- E_S)))","monomorphemic"
"78",78,"2086:82","uh, we've, we've, uh, taken how much we have *t*-2, you know, write down how much we have *t*-1 coming in each month","no","yes","nominalized","yes","",NA,"","","how","write","",NA,"have","","","each","how much",NA,"(WRB how)","how much we have *t*-1 coming in each month","(TOP (S (INTJ (UH Uh)) (, ,) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP we)) (VP-UNF (VBP 've))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP we)) (VP (VP (VBP 've) (, ,) (RS (-DFL- \])) (INTJ (UH uh)) (, ,) (VP (VBN taken) (SBAR-NOM (WHNP-2 (WHADJP (WRB how) (JJ much))) (S (NP-SBJ (PRP we)) (VP (VBP have) (NP (-NONE- *T*-2))))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (VP (VBP write) (PRT (RP down)) (SBAR-NOM (WHNP-1 (WHADJP (WRB how) (RB much))) (S (NP-SBJ (PRP we)) (VP (VBP have) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBG coming) (PRT (RB in)) (NP-TMP (DT each) (NN month))))))))) (-DFL- E_S)))","complex"
"79",79,"40956:9","and, what they did *t*-1, they had, uh, a book made *-2 up","no","yes","subject","no","",NA,"","","what","","",NA,"did","","a","a","",NA,"(WP what)","what they did *t*-1","(TOP (S (CC And) (, ,) (SBAR-ADV (WHNP-1 (WP what)) (S (NP-SBJ (PRP they)) (VP (VBD did) (NP (-NONE- *T*-1))))) (, ,) (NP-SBJ (PRP they)) (VP (VBD had) (, ,) (INTJ (UH uh)) (, ,) (S (NP-SBJ-2 (DT a) (NN book)) (VP (VBN made) (NP (-NONE- *-2)) (PRT (RP up))))) (-DFL- E_S)))","monomorphemic"
"80",80,"8060:71","and i said, okay, i want *-1 to see a curriculum guide, you know, so i'll know what i'm suppose *-2 to teach *t*-3","no","yes","embedded","no","",NA,"","","what","know","",NA,"'m","","","a","",NA,"(WP what)","what i'm suppose *-2 to teach *t*-3","(TOP (S (CC and) (NP-SBJ (PRP I)) (VP (VBD said) (, ,) (S-SEZ (INTJ (UH okay)) (, ,) (NP-SBJ-1 (PRP I)) (VP (VBP want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB see) (NP (DT a) (NN curriculum) (NN guide)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (-DFL- E_S) (SBAR-PRP (RB so) (S (NP-SBJ (PRP I)) (VP (MD 'll) (VP (VB know) (SBAR (WHNP-3 (WP what)) (S (NP-SBJ-2 (PRP I)) (VP (VBP 'm) (VP (TYPO (VBN suppose)) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB teach) (NP (-NONE- *T*-3))))))))))))))))))) (-DFL- E_S)))","monomorphemic"
"81",81,"13772:186","or * to put their child into a s-, into a home setting, where they would, you know, like they, they would get, leave at eight in the morning and, and drop a two year old off in a home where you knew 0 there were going *-1 to be four other kids *t*-2 *t*-3","no","yes","relative","no","",NA,"","","where","","",NA,"knew","","","the","",NA,"(WRB where)","where you knew 0 there were going *-1 to be four other kids *t*-2","(TOP (S (CC Or) (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB put) (NP (PRP$ their) (NN child)) (EDITED (RM (-DFL- \[)) (PP-PUT (IN into) (NP-UNF (DT a) (NN s-))) (, ,) (IP (-DFL- \+))) (PP-PUT (IN into) (NP (NP (DT a) (NN home) (NN setting)) (, ,) (RS (-DFL- \])) (SBAR (WHADVP-3 (WRB where)) (S (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP they)) (VP-UNF (MD would))) (, ,) (IP (-DFL- \+))) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (INTJ (UH like)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP they)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP they)) (RS (-DFL- \])) (VP (MD would) (RS (-DFL- \])) (EDITED (RM (-DFL- \[)) (VP-UNF (VB get)) (, ,) (IP (-DFL- \+))) (VP (VP (VB leave) (RS (-DFL- \])) (PP-TMP (IN at) (NP (NP (CD eight)) (PP-TMP (IN in) (NP (DT the) (NN morning)))))) (EDITED (RM (-DFL- \[)) (CC and) (, ,) (IP (-DFL- \+))) (CC and) (RS (-DFL- \])) (VP (VB drop) (NP (DT a) (CD two) (NN year) (NN old)) (PRT (RP off)) (PP-LOC (IN in) (NP (NP (DT a) (NN home)) (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ (PRP you)) (VP (VBD knew) (SBAR (-NONE- 0) (S (NP-SBJ-1 (EX there)) (VP (VBD were) (VP (VBG going) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB be) (NP-PRD (CD four) (JJ other) (NNS kids))))))))) (ADVP-LOC (-NONE- *T*-2)))))))) (ADVP-LOC (-NONE- *T*-3)))))))))) (-DFL- E_S)))","monomorphemic"
"82",82,"174401:16","so we'll see what *t*-1 happens.","no","yes","embedded","no","",NA,"","","what","see","",NA,"happens","","","","",NA,"(WP what)","what *t*-1 happens","(TOP (S (RB So) (NP-SBJ (PRP we)) (VP (MD 'll) (VP (VB see) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ happens)))))) (. .) (-DFL- E_S)))","monomorphemic"
"83",83,"107353:16","well, how about when you were in colorado *t*-1?","no","yes","adjunct","no","",NA,"","","when","","",NA,"were","","","","",NA,"(WRB when)","when you were in colorado *t*-1","(TOP (FRAG (INTJ (UH Well)) (, ,) (WHADVP (WRB how)) (PP (IN about) (SBAR (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP you)) (VP (VBD were) (PP-LOC-PRD (IN in) (NP (NNP Colorado))) (ADVP-TMP (-NONE- *T*-1)))))) (. ?) (-DFL- E_S)))","monomorphemic"
"84",84,"19512:11","nobody knows what * to do *t*-1.","no","yes","embedded","no","",NA,"","","what","knows","",NA,"do","","","","",NA,"(WP what)","what * to do *t*-1","(TOP (S (NP-SBJ (NN Nobody)) (VP (VBZ knows) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))","monomorphemic"
"85",85,"106188:23","well, i think 0 sometimes when people get *-1 to be a certain age *t*-2, other people have *-3 to kind of help them make decisions.","no","yes","embedded","no","",NA,"","","when","think","",NA,"get","","","a","",NA,"(WRB when)","when people get *-1 to be a certain age *t*-2","(TOP (S (INTJ (UH well)) (, ,) (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (-NONE- 0) (S (ADVP-TMP (RB sometimes)) (SBAR-TMP (WHADVP-2 (WRB when)) (S (NP-SBJ-1 (NNS people)) (VP (VBP get) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB be) (NP-PRD (DT a) (JJ certain) (NN age))))) (ADVP-TMP (-NONE- *T*-2))))) (, ,) (NP-SBJ-3 (JJ other) (NNS people)) (VP (VBP have) (S (NP-SBJ (-NONE- *-3)) (VP (TO to) (ADVP (RB kind) (RB of)) (VP (VB help) (S (NP-SBJ (PRP them)) (VP (VB make) (NP (NNS decisions))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"86",86,"124332:70","and it *exp*-1's just incredible * to think that there's, uh, there are players who *t*-2 are the sons of ball players that *t*-3 used *-4 to play against nolan or with nolan, you know,","no","yes","relative","no","",NA,"","ball","who","think","",NA,"are","","","the","",NA,"(WP who)","who *t*-2 are the sons of ball players that *t*-3 used *-4 to play against nolan or with nolan","(TOP (S (CC And) (NP-SBJ (NP (PRP it)) (S (-NONE- *EXP*-1))) (VP (BES 's) (ADJP-PRD (RB just) (JJ incredible)) (S-1 (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB think) (SBAR (IN that) (S (EDITED (RM (-DFL- \[)) (S (NP-SBJ (EX there)) (VP-UNF (BES 's))) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP-SBJ (EX there)) (VP (VBP are) (RS (-DFL- \])) (NP-PRD (NP (NNS players)) (SBAR (WHNP-2 (WP who)) (S (NP-SBJ (-NONE- *T*-2)) (VP (VBP are) (NP-PRD (NP (DT the) (NNS sons)) (PP (IN of) (NP (NP (NN ball) (NNS players)) (SBAR (WHNP-3 (WDT that)) (S (NP-SBJ-4 (-NONE- *T*-3)) (VP (VBD used) (S (NP-SBJ (-NONE- *-4)) (VP (TO to) (VP (VB play) (PP (PP (IN against) (NP (NNP Nolan))) (CC or) (PP (IN with) (NP (NNP Nolan))))))))))))))))))))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))))) (, ,) (-DFL- E_S)))","monomorphemic"
"87",87,"83886:6","and what does the foliage look like *t*-1?","no","yes","root","no","yes",NA,"","","what","","",NA,"does","","the","","",NA,"(WP what)","and what does the foliage look like *t*-1?","(TOP (SBARQ (CC And) (WHNP-1 (WP what)) (SQ (VBZ does) (NP-SBJ (DT the) (NN foliage)) (VP (VB look) (PP (IN like) (NP (-NONE- *T*-1))))) (. ?) (-DFL- E_S)))","monomorphemic"
"88",88,"9925:60","they've got a lot of adjustments 0 * to make *t*-1 with *-3 coming out of what they've been through *t*-2 now,","no","yes","nominalized","no","",NA,"","","what","","coming",NA,"'ve","","","a","",NA,"(WP what)","what they've been through *t*-2 now","(TOP (S (NP-SBJ (PRP they)) (VP (VBP 've) (VP (VBN got) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS adjustments)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ-3 (-NONE- *)) (VP (TO to) (VP (VB make) (NP (-NONE- *T*-1)) (PP (IN with) (S-NOM (NP-SBJ (-NONE- *-3)) (VP (VBG coming) (PRT (RP out)) (PP (IN of) (SBAR-NOM (WHNP-2 (WP what)) (S (NP-SBJ (PRP they)) (VP (VBP 've) (VP (VBN been) (PP-PRD (IN through) (NP (-NONE- *T*-2))) (ADVP-TMP (RB now))))))))))))))))))) (, ,) (-DFL- E_S)))","monomorphemic"
"89",89,"63445:173","so, but, uh. the big problem is not * having the, uh, the resolution between temperature, you know, between a hundred, if you're talking about a hundred degrees or what, thirty, zero, you know thirty four degrees, whatever that is *t*-1.","no","yes","relative","no","",NA,"","","whatever","is","",NA,"is","","that","that","",NA,"(WP whatever)","whatever that is *t*-1","(TOP (S (EDITED (RM (-DFL- \[)) (RB So) (, ,) (IP (-DFL- \+))) (CC but) (, ,) (RS (-DFL- \])) (INTJ (UH uh)) (. .) (NP-SBJ (DT The) (JJ big) (NN problem)) (VP (VBZ is) (RB not) (S-PRD (NP-SBJ (-NONE- *)) (VP (VBG having) (EDITED (RM (-DFL- \[)) (NP-UNF (DT the)) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP (NP (DT the) (RS (-DFL- \])) (NN resolution)) (EDITED (RM (-DFL- \[)) (PP (IN between) (NP (NN temperature))) (, ,) (IP (-DFL- \+))) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (PP (IN between) (NP (NP (QP (DT a) (CD hundred))) (, ,) (RS (-DFL- \])) (PRN (SBAR-ADV (IN if) (S (NP-SBJ (PRP you)) (VP (VBP 're) (VP (VBG talking) (PP (IN about) (NP (QP (DT a) (CD hundred)) (NNS degrees)))))))) (CC or) (NP (WP what)) (, ,) (NP (CD thirty)) (, ,) (NP (CD zero)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))) (NP (QP (CD thirty) (CD four)) (NNS degrees)) (, ,) (SBAR-NOM (WHNP-1 (WP whatever)) (S (NP-SBJ (DT that)) (VP (VBZ is) (NP-PRD (-NONE- *T*-1))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"90",90,"56723:24","i'm trying *-1 to think what they call *t*-2 their soup.","no","yes","embedded","no","",NA,"","call","what","think","",NA,"call","","","","",NA,"(WP what)","what they call *t*-2 their soup","(TOP (S (NP-SBJ-1 (PRP I)) (VP (VBP 'm) (VP (VBG trying) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB think) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (PRP they)) (VP (VBP call) (S (NP-SBJ (-NONE- *T*-2)) (NP-PRD (PRP$ their) (NN soup))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"91",91,"83882:4","what color is, is yours blooming *t*-1?","no","yes","root","no","yes",NA,"","","what","","",NA,"is","","","","what color",NA,"(WDT what)","what color is, is yours blooming *t*-1?","(TOP (SBARQ (WHNP-1 (WDT what) (NN color)) (EDITED (RM (-DFL- \[)) (SQ-UNF (VBZ is)) (, ,) (IP (-DFL- \+))) (SQ (VBZ is) (RS (-DFL- \])) (NP-SBJ (PRP yours)) (VP (VBG blooming) (NP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","complex"
"92",92,"122903:171","the, the first one is 0 we need people *ich*-2 in there that, that *t*-1 understand, uh, numbers. the numbers that *t*-3 are being thrown *-4 around when, when we're talking in trillions of dollars. uh, which *t*-5 is an astronomical sum *t*-6","no","yes","relative","no","",NA,"","","which","thrown","",NA,"is","","the","which","",NA,"(WDT which)","which *t*-5 is an astronomical sum","(TOP (S (EDITED (RM (-DFL- \[)) (NP-SBJ-UNF (DT The)) (, ,) (IP (-DFL- \+))) (NP-SBJ (DT the) (RS (-DFL- \])) (JJ first) (NN one)) (VP (VBZ is) (SBAR-PRD (-NONE- 0) (S (NP-SBJ (PRP we)) (VP (VBP need) (NP (NP (NNS people)) (SBAR (-NONE- *ICH*-2))) (PP-LOC (IN in) (ADVP (RB there))) (SBAR-2 (EDITED (RM (-DFL- \[)) (WHNP (WDT that)) (, ,) (IP (-DFL- \+))) (WHNP-1 (WDT that)) (RS (-DFL- \])) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP understand) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (NNS numbers)) (. .) (NP (NP (DT The) (NNS numbers)) (SBAR (WHNP-3 (WDT that)) (S (NP-SBJ-4 (-NONE- *T*-3)) (VP (VBP are) (VP (VBG being) (VP (VBN thrown) (NP (-NONE- *-4)) (ADVP (IN around)) (SBAR-TMP (EDITED (RM (-DFL- \[)) (WHADVP (WRB when)) (, ,) (IP (-DFL- \+))) (WHADVP-6 (WRB when)) (RS (-DFL- \])) (S (NP-SBJ (PRP we)) (VP (VBP 're) (VP (VBG talking) (PP (IN in) (NP (NP (NP (NNS trillions)) (PP (IN of) (NP (NNS dollars)))) (. .) (INTJ (UH Uh)) (, ,) (SBAR (WHNP-5 (WDT which)) (S (NP-SBJ (-NONE- *T*-5)) (VP (VBZ is) (NP-PRD (DT an) (JJ astronomical) (NN sum))))))) (ADVP-TMP (-NONE- *T*-6)))))))))))))))))))) (-DFL- E_S)))","monomorphemic"
"93",93,"122792:5","when we try and picture the universe as an infinite object *t*-2, and it's hard 0 * to, to see *t*-1, you know.","no","yes","subject","no","",NA,"","","when","","",NA,"try","","","the","",NA,"(WRB when)","when we try and picture the universe as an infinite object *t*-2","(TOP (S (SBAR-TMP (WHADVP-2 (WRB when)) (S (NP-SBJ (PRP we)) (VP (VP (VBP try)) (CC and) (VP (VBP picture) (NP (DT the) (NN universe)) (PP (IN as) (NP (DT an) (JJ infinite) (NN object)))) (ADVP-TMP (-NONE- *T*-2))))) (, ,) (CC and) (NP-SBJ (PRP it)) (VP (BES 's) (ADJP-PRD (JJ hard) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (EDITED (RM (-DFL- \[)) (VP-UNF (TO to)) (, ,) (IP (-DFL- \+))) (VP (TO to) (RS (-DFL- \])) (VP (VB see) (NP (-NONE- *T*-1))))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))))) (. .) (-DFL- E_S)))","monomorphemic"
"94",94,"35282:35","but it's real different show than it was *?* when it started *t*-1.","no","yes","relative","no","",NA,"","","when","was","",NA,"started","","","","",NA,"(WRB when)","when it started *t*-1","(TOP (S (CC But) (NP-SBJ (PRP it)) (VP (BES 's) (NP-PRD (NP (ADJP (RB real) (JJ different)) (NN show)) (SBAR (IN than) (S (NP-SBJ (PRP it)) (VP (VBD was) (NP-PRD (-NONE- *?*)) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP it)) (VP (VBD started) (ADVP-TMP (-NONE- *T*-1)))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"95",95,"43500:14","you know, what's the significance of the apes *t*-1, you know.","no","yes","root","no","yes",NA,"","","what","","",NA,"know","","the","","",NA,"(WP what)","you know, what's the significance of the apes *t*-1, you know.","(TOP (SBARQ (PRN (S (NP-SBJ (PRP You)) (VP (VBP know))) (, ,)) (WHNP-1 (WP what)) (SQ (BES 's) (NP-SBJ (NP (DT the) (NN significance)) (PP (IN of) (NP (DT the) (NNS apes)))) (NP-PRD (-NONE- *T*-1)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))))) (. .) (-DFL- E_S)))","monomorphemic"
